"rep","Dmean","Dse","decHour","DmmolMean","DmmolSE","CondMean","CondSE","PhotoMean","PhotoSE","CiCaMean","CiCaSE","gcMean","gcSE","vcmax_TinsMean","vcmax_TinsSE","vcmax_TsenMean","vcmax_TsenSE","sampleNo","round","spp","treatment","leafAge"
"3_BET_control_young",2.19666666666667,0.00881917103688192,13.9555555555556,21.6207349081365,0.0868028645362389,0.0526333333333333,0.00640060761004592,3.43,0.375277674973257,0.691889519673993,0.0562611527307092,0.0328958333333333,0.0040003797562787,15.9759780940863,2.72418746246362,15.8855442922725,2.90902867695027,3,"3","BET","control","young"
"3_BET_drought_young",2.355,0.0262995563967659,13.95,23.1791338582677,0.258853901542971,0.013475,0.0065175883832391,0.26,0.311795873395827,0.838376966627459,0.193608145669207,0.008421875,0.00407349273952444,4.85384898165125,0.688444256628471,5.35417735633629,1.17458494363409,4,"3","BET","drought","young"
"3_BET_well-watered_young",2.935,0.0750000000000001,13.7208333333333,28.8877952755906,0.738188976377953,0.05735,0.0205529600463453,4.6625,1.51177255233716,0.653511233379975,0.101556776189066,0.03584375,0.0128456000289658,27.7945722055316,10.6346538664845,30.3444686783327,12.7961673723976,4,"3","BET","well-watered","young"
"4_BET_control_young",2.62666666666667,0.074236858171067,15.6944444444444,25.8530183727034,0.730677737904202,0.0663,0.0298286774765493,-0.55,0.422965719651132,1.00375988592784,0.0479805699302121,0.0414375,0.0186429234228433,0.933585606070041,NA,0.881493372564122,NA,3,"4","BET","control","young"
"4_BET_drought_young",2.85,0.0385140666943045,15.7166666666667,28.0511811023622,0.379075459589611,0.013425,0.00338092073258158,-0.1875,0.441651729307154,1.11079314974457,0.160471561017605,0.008390625,0.00211307545786349,4.32359008617506,NA,4.35534325759807,NA,4,"4","BET","drought","young"
"4_BET_well-watered_young",3.4075,0.103471010432874,15.8333333333333,33.5383858267717,1.01841545701648,0.075175,0.0254435772838648,6.215,2.11718563191799,0.635065816457023,0.0584984041422762,0.046984375,0.0159022358024155,32.878587478374,10.8297805467418,35.4814396652065,11.6706480259602,4,"4","BET","well-watered","young"
"1_EUC_control_young",1.23333333333333,0.0523874454850058,10.1222222222222,12.1391076115486,0.515624463435095,0.0748666666666667,0.0351677093052388,6.78666666666667,2.18873124079784,0.566504504543111,0.0843952188466625,0.0467916666666667,0.0219798183157742,40.8415771108805,14.5580407365121,40.737993787201,14.4381950758546,3,"1","EUC","control","young"
"1_EUC_drought_young",1.27,0.0463680924774785,10.1291666666667,12.5,0.456378862967308,0.0388,0.0162878789288231,3.65,1.34791814786111,0.585366524806501,0.0277030041457176,0.02425,0.0101799243305144,19.564020345875,6.99738915492845,19.493921411308,6.97451023153654,4,"1","EUC","drought","young"
"1_EUC_well-watered_young",1.27,0.0920326029187483,9.28,12.5,0.905832705893192,0.13196,0.0258754246341968,11.012,0.834741876270743,0.612548013298608,0.0454231527339286,0.082475,0.016172140396373,58.6835451528455,7.32702381267627,58.4493501503141,7.26368975372588,5,"1","EUC","well-watered","young"
"2_EUC_control_young",1.98,0.0152752523165195,12.8166666666667,19.488188976378,0.150346971619286,0.0334,0.00819023809177731,3.30333333333333,0.577821579536259,0.559572338127991,0.0602947753266308,0.020875,0.00511889880736082,19.4178514517102,4.45581603609918,20.0337566540934,5.01786671155689,3,"2","EUC","control","young"
